=== KẾT QUẢ ĐÁNH GIÁ HỆ THỐNG ===
Tổng số ảnh đánh giá: 1483
Top-1 Accuracy : 0.7087
Top-5 Accuracy : 0.7539
Macro Precision: 0.9317
Macro Recall   : 0.7089
Tổng thời gian : 159.6s
TB mỗi query   : 107.6ms

=== CHI TIẾT ===
File: 10__M_Left_index_finger_CR.BMP | True ID: 10 | Top 1: 10 | Top 5: [10, 287, 187, 297, 148] | Top-1 Đúng: True | Top-5 Đúng: True
File: 20__M_Right_index_finger_CR.BMP | True ID: 20 | Top 1: 85 | Top 5: [85, 199, 289, 299, 89] | Top-1 Đúng: False | Top-5 Đúng: False
File: 20__M_Right_index_finger_Obl.BMP | True ID: 20 | Top 1: 20 | Top 5: [20, 81, 78, 126, 115] | Top-1 Đúng: True | Top-5 Đúng: True
File: 20__M_Right_index_finger_Zcut.BMP | True ID: 20 | Top 1: 199 | Top 5: [199, 38, 93, 208, 85] | Top-1 Đúng: False | Top-5 Đúng: False
File: 20__M_Right_little_finger_CR.BMP | True ID: 20 | Top 1: 20 | Top 5: [20, 115, 242, 141, 141] | Top-1 Đúng: True | Top-5 Đúng: True
File: 20__M_Right_little_finger_Obl.BMP | True ID: 20 | Top 1: 20 | Top 5: [20, 242, 115, 141, 209] | Top-1 Đúng: True | Top-5 Đúng: True
File: 20__M_Right_little_finger_Zcut.BMP | True ID: 20 | Top 1: 20 | Top 5: [20, 242, 115, 141, 141] | Top-1 Đúng: True | Top-5 Đúng: True
File: 20__M_Right_middle_finger_CR.BMP | True ID: 20 | Top 1: 20 | Top 5: [20, 238, 57, 52, 89] | Top-1 Đúng: True | Top-5 Đúng: True
File: 20__M_Right_middle_finger_Obl.BMP | True ID: 20 | Top 1: 99 | Top 5: [99, 6, 181, 84, 276] | Top-1 Đúng: False | Top-5 Đúng: False
File: 20__M_Right_middle_finger_Zcut.BMP | True ID: 20 | Top 1: 20 | Top 5: [20, 238, 57, 52, 247] | Top-1 Đúng: True | Top-5 Đúng: True
File: 20__M_Right_ring_finger_CR.BMP | True ID: 20 | Top 1: 20 | Top 5: [20, 265, 32, 80, 95] | Top-1 Đúng: True | Top-5 Đúng: True
File: 20__M_Right_ring_finger_Obl.BMP | True ID: 20 | Top 1: 20 | Top 5: [20, 265, 32, 95, 80] | Top-1 Đúng: True | Top-5 Đúng: True
File: 20__M_Right_ring_finger_Zcut.BMP | True ID: 20 | Top 1: 20 | Top 5: [20, 265, 32, 95, 80] | Top-1 Đúng: True | Top-5 Đúng: True
File: 20__M_Right_thumb_finger_CR.BMP | True ID: 20 | Top 1: 119 | Top 5: [119, 22, 172, 276, 157] | Top-1 Đúng: False | Top-5 Đúng: False
File: 20__M_Right_thumb_finger_Obl.BMP | True ID: 20 | Top 1: 37 | Top 5: [37, 177, 271, 119, 82] | Top-1 Đúng: False | Top-5 Đúng: False
File: 20__M_Right_thumb_finger_Zcut.BMP | True ID: 20 | Top 1: 37 | Top 5: [37, 177, 271, 82, 292] | Top-1 Đúng: False | Top-5 Đúng: False
File: 21__M_Left_index_finger_CR.BMP | True ID: 21 | Top 1: 21 | Top 5: [21, 49, 28, 32, 128] | Top-1 Đúng: True | Top-5 Đúng: True
File: 21__M_Left_index_finger_Obl.BMP | True ID: 21 | Top 1: 21 | Top 5: [21, 36, 49, 181, 28] | Top-1 Đúng: True | Top-5 Đúng: True
File: 21__M_Left_index_finger_Zcut.BMP | True ID: 21 | Top 1: 21 | Top 5: [21, 28, 36, 34, 49] | Top-1 Đúng: True | Top-5 Đúng: True
File: 21__M_Left_little_finger_CR.BMP | True ID: 21 | Top 1: 21 | Top 5: [21, 73, 244, 284, 21] | Top-1 Đúng: True | Top-5 Đúng: True
File: 21__M_Left_little_finger_Obl.BMP | True ID: 21 | Top 1: 21 | Top 5: [21, 73, 284, 244, 155] | Top-1 Đúng: True | Top-5 Đúng: True
File: 21__M_Left_little_finger_Zcut.BMP | True ID: 21 | Top 1: 21 | Top 5: [21, 21, 73, 21, 284] | Top-1 Đúng: True | Top-5 Đúng: True
File: 21__M_Left_middle_finger_CR.BMP | True ID: 21 | Top 1: 229 | Top 5: [229, 170, 271, 150, 273] | Top-1 Đúng: False | Top-5 Đúng: False
File: 21__M_Left_middle_finger_Obl.BMP | True ID: 21 | Top 1: 178 | Top 5: [178, 128, 36, 258, 3] | Top-1 Đúng: False | Top-5 Đúng: False
File: 21__M_Left_middle_finger_Zcut.BMP | True ID: 21 | Top 1: 21 | Top 5: [21, 21, 236, 73, 186] | Top-1 Đúng: True | Top-5 Đúng: True
File: 21__M_Left_ring_finger_CR.BMP | True ID: 21 | Top 1: 21 | Top 5: [21, 21, 21, 284, 73] | Top-1 Đúng: True | Top-5 Đúng: True
File: 21__M_Left_ring_finger_Obl.BMP | True ID: 21 | Top 1: 2 | Top 5: [2, 21, 152, 38, 229] | Top-1 Đúng: False | Top-5 Đúng: True
File: 21__M_Left_ring_finger_Zcut.BMP | True ID: 21 | Top 1: 21 | Top 5: [21, 21, 21, 73, 229] | Top-1 Đúng: True | Top-5 Đúng: True
File: 21__M_Left_thumb_finger_CR.BMP | True ID: 21 | Top 1: 21 | Top 5: [21, 3, 141, 229, 258] | Top-1 Đúng: True | Top-5 Đúng: True
File: 21__M_Left_thumb_finger_Obl.BMP | True ID: 21 | Top 1: 21 | Top 5: [21, 232, 296, 236, 3] | Top-1 Đúng: True | Top-5 Đúng: True
File: 21__M_Left_thumb_finger_Zcut.BMP | True ID: 21 | Top 1: 21 | Top 5: [21, 229, 178, 141, 39] | Top-1 Đúng: True | Top-5 Đúng: True
File: 21__M_Right_index_finger_CR.BMP | True ID: 21 | Top 1: 21 | Top 5: [21, 190, 290, 23, 22] | Top-1 Đúng: True | Top-5 Đúng: True
File: 21__M_Right_index_finger_Obl.BMP | True ID: 21 | Top 1: 191 | Top 5: [191, 6, 206, 239, 140] | Top-1 Đúng: False | Top-5 Đúng: False
File: 21__M_Right_index_finger_Zcut.BMP | True ID: 21 | Top 1: 140 | Top 5: [140, 79, 5, 239, 206] | Top-1 Đúng: False | Top-5 Đúng: False
File: 21__M_Right_little_finger_CR.BMP | True ID: 21 | Top 1: 21 | Top 5: [21, 278, 38, 34, 178] | Top-1 Đúng: True | Top-5 Đúng: True
File: 21__M_Right_little_finger_Obl.BMP | True ID: 21 | Top 1: 21 | Top 5: [21, 128, 38, 45, 152] | Top-1 Đúng: True | Top-5 Đúng: True
File: 21__M_Right_little_finger_Zcut.BMP | True ID: 21 | Top 1: 21 | Top 5: [21, 34, 278, 38, 152] | Top-1 Đúng: True | Top-5 Đúng: True
File: 21__M_Right_middle_finger_CR.BMP | True ID: 21 | Top 1: 21 | Top 5: [21, 272, 155, 162, 49] | Top-1 Đúng: True | Top-5 Đúng: True
File: 21__M_Right_middle_finger_Obl.BMP | True ID: 21 | Top 1: 21 | Top 5: [21, 251, 296, 62, 98] | Top-1 Đúng: True | Top-5 Đúng: True
File: 21__M_Right_middle_finger_Zcut.BMP | True ID: 21 | Top 1: 21 | Top 5: [21, 62, 272, 98, 296] | Top-1 Đúng: True | Top-5 Đúng: True
File: 21__M_Right_ring_finger_CR.BMP | True ID: 21 | Top 1: 21 | Top 5: [21, 296, 36, 113, 36] | Top-1 Đúng: True | Top-5 Đúng: True
File: 21__M_Right_ring_finger_Obl.BMP | True ID: 21 | Top 1: 21 | Top 5: [21, 281, 2, 113, 194] | Top-1 Đúng: True | Top-5 Đúng: True
File: 21__M_Right_ring_finger_Zcut.BMP | True ID: 21 | Top 1: 21 | Top 5: [21, 36, 36, 189, 296] | Top-1 Đúng: True | Top-5 Đúng: True
File: 21__M_Right_thumb_finger_CR.BMP | True ID: 21 | Top 1: 21 | Top 5: [21, 104, 146, 271, 73] | Top-1 Đúng: True | Top-5 Đúng: True
File: 21__M_Right_thumb_finger_Obl.BMP | True ID: 21 | Top 1: 54 | Top 5: [54, 83, 123, 282, 112] | Top-1 Đúng: False | Top-5 Đúng: False
File: 21__M_Right_thumb_finger_Zcut.BMP | True ID: 21 | Top 1: 21 | Top 5: [21, 104, 146, 271, 236] | Top-1 Đúng: True | Top-5 Đúng: True
File: 22__M_Left_index_finger_CR.BMP | True ID: 22 | Top 1: 22 | Top 5: [22, 157, 119, 292, 120] | Top-1 Đúng: True | Top-5 Đúng: True
File: 22__M_Left_index_finger_Obl.BMP | True ID: 22 | Top 1: 22 | Top 5: [22, 157, 119, 120, 155] | Top-1 Đúng: True | Top-5 Đúng: True
File: 22__M_Left_index_finger_Zcut.BMP | True ID: 22 | Top 1: 22 | Top 5: [22, 166, 120, 155, 157] | Top-1 Đúng: True | Top-5 Đúng: True
File: 22__M_Left_little_finger_CR.BMP | True ID: 22 | Top 1: 22 | Top 5: [22, 61, 168, 187, 7] | Top-1 Đúng: True | Top-5 Đúng: True
File: 22__M_Left_little_finger_Obl.BMP | True ID: 22 | Top 1: 22 | Top 5: [22, 285, 187, 7, 168] | Top-1 Đúng: True | Top-5 Đúng: True
File: 22__M_Left_little_finger_Zcut.BMP | True ID: 22 | Top 1: 22 | Top 5: [22, 61, 168, 187, 7] | Top-1 Đúng: True | Top-5 Đúng: True
File: 22__M_Left_middle_finger_CR.BMP | True ID: 22 | Top 1: 22 | Top 5: [22, 158, 22, 141, 141] | Top-1 Đúng: True | Top-5 Đúng: True
File: 22__M_Left_middle_finger_Obl.BMP | True ID: 22 | Top 1: 19 | Top 5: [19, 30, 255, 286, 269] | Top-1 Đúng: False | Top-5 Đúng: False
File: 22__M_Left_middle_finger_Zcut.BMP | True ID: 22 | Top 1: 22 | Top 5: [22, 22, 158, 141, 141] | Top-1 Đúng: True | Top-5 Đúng: True
File: 22__M_Left_ring_finger_CR.BMP | True ID: 22 | Top 1: 22 | Top 5: [22, 16, 208, 22, 141] | Top-1 Đúng: True | Top-5 Đúng: True
File: 22__M_Left_ring_finger_Obl.BMP | True ID: 22 | Top 1: 22 | Top 5: [22, 16, 208, 37, 265] | Top-1 Đúng: True | Top-5 Đúng: True
File: 22__M_Left_ring_finger_Zcut.BMP | True ID: 22 | Top 1: 22 | Top 5: [22, 16, 208, 141, 22] | Top-1 Đúng: True | Top-5 Đúng: True
File: 22__M_Left_thumb_finger_CR.BMP | True ID: 22 | Top 1: 22 | Top 5: [22, 300, 231, 244, 45] | Top-1 Đúng: True | Top-5 Đúng: True
File: 22__M_Left_thumb_finger_Obl.BMP | True ID: 22 | Top 1: 22 | Top 5: [22, 300, 231, 37, 79] | Top-1 Đúng: True | Top-5 Đúng: True
File: 22__M_Left_thumb_finger_Zcut.BMP | True ID: 22 | Top 1: 22 | Top 5: [22, 300, 231, 79, 238] | Top-1 Đúng: True | Top-5 Đúng: True
File: 22__M_Right_index_finger_CR.BMP | True ID: 22 | Top 1: 22 | Top 5: [22, 240, 256, 178, 146] | Top-1 Đúng: True | Top-5 Đúng: True
File: 22__M_Right_index_finger_Obl.BMP | True ID: 22 | Top 1: 22 | Top 5: [22, 170, 240, 128, 269] | Top-1 Đúng: True | Top-5 Đúng: True
File: 22__M_Right_index_finger_Zcut.BMP | True ID: 22 | Top 1: 22 | Top 5: [22, 240, 256, 178, 60] | Top-1 Đúng: True | Top-5 Đúng: True
File: 22__M_Right_little_finger_CR.BMP | True ID: 22 | Top 1: 22 | Top 5: [22, 22, 292, 157, 269] | Top-1 Đúng: True | Top-5 Đúng: True
File: 22__M_Right_little_finger_Obl.BMP | True ID: 22 | Top 1: 22 | Top 5: [22, 56, 22, 157, 155] | Top-1 Đúng: True | Top-5 Đúng: True
File: 22__M_Right_little_finger_Zcut.BMP | True ID: 22 | Top 1: 22 | Top 5: [22, 56, 22, 157, 45] | Top-1 Đúng: True | Top-5 Đúng: True
File: 22__M_Right_middle_finger_CR.BMP | True ID: 22 | Top 1: 30 | Top 5: [30, 132, 58, 11, 78] | Top-1 Đúng: False | Top-5 Đúng: False
File: 22__M_Right_middle_finger_Obl.BMP | True ID: 22 | Top 1: 22 | Top 5: [22, 4, 137, 258, 133] | Top-1 Đúng: True | Top-5 Đúng: True
File: 22__M_Right_middle_finger_Zcut.BMP | True ID: 22 | Top 1: 22 | Top 5: [22, 4, 137, 255, 133] | Top-1 Đúng: True | Top-5 Đúng: True
File: 22__M_Right_ring_finger_CR.BMP | True ID: 22 | Top 1: 1 | Top 5: [1, 58, 30, 78, 253] | Top-1 Đúng: False | Top-5 Đúng: False
File: 22__M_Right_ring_finger_Obl.BMP | True ID: 22 | Top 1: 22 | Top 5: [22, 32, 177, 199, 127] | Top-1 Đúng: True | Top-5 Đúng: True
File: 22__M_Right_ring_finger_Zcut.BMP | True ID: 22 | Top 1: 22 | Top 5: [22, 32, 177, 199, 298] | Top-1 Đúng: True | Top-5 Đúng: True
File: 22__M_Right_thumb_finger_CR.BMP | True ID: 22 | Top 1: 271 | Top 5: [271, 194, 230, 64, 282] | Top-1 Đúng: False | Top-5 Đúng: False
File: 22__M_Right_thumb_finger_Obl.BMP | True ID: 22 | Top 1: 22 | Top 5: [22, 281, 248, 27, 87] | Top-1 Đúng: True | Top-5 Đúng: True
File: 22__M_Right_thumb_finger_Zcut.BMP | True ID: 22 | Top 1: 22 | Top 5: [22, 281, 248, 281, 290] | Top-1 Đúng: True | Top-5 Đúng: True
File: 23__M_Left_index_finger_CR.BMP | True ID: 23 | Top 1: 23 | Top 5: [23, 23, 120, 73, 127] | Top-1 Đúng: True | Top-5 Đúng: True
File: 23__M_Left_index_finger_Obl.BMP | True ID: 23 | Top 1: 258 | Top 5: [258, 75, 242, 47, 176] | Top-1 Đúng: False | Top-5 Đúng: False
File: 23__M_Left_index_finger_Zcut.BMP | True ID: 23 | Top 1: 23 | Top 5: [23, 23, 120, 73, 101] | Top-1 Đúng: True | Top-5 Đúng: True
File: 23__M_Left_little_finger_CR.BMP | True ID: 23 | Top 1: 23 | Top 5: [23, 284, 135, 198, 120] | Top-1 Đúng: True | Top-5 Đúng: True
File: 23__M_Left_little_finger_Obl.BMP | True ID: 23 | Top 1: 87 | Top 5: [87, 250, 106, 45, 55] | Top-1 Đúng: False | Top-5 Đúng: False
File: 23__M_Left_little_finger_Zcut.BMP | True ID: 23 | Top 1: 23 | Top 5: [23, 284, 135, 198, 120] | Top-1 Đúng: True | Top-5 Đúng: True
File: 23__M_Left_middle_finger_CR.BMP | True ID: 23 | Top 1: 23 | Top 5: [23, 23, 55, 21, 232] | Top-1 Đúng: True | Top-5 Đúng: True
File: 23__M_Left_middle_finger_Obl.BMP | True ID: 23 | Top 1: 77 | Top 5: [77, 111, 271, 68, 162] | Top-1 Đúng: False | Top-5 Đúng: False
File: 23__M_Left_middle_finger_Zcut.BMP | True ID: 23 | Top 1: 23 | Top 5: [23, 73, 23, 232, 23] | Top-1 Đúng: True | Top-5 Đúng: True
File: 23__M_Left_ring_finger_CR.BMP | True ID: 23 | Top 1: 23 | Top 5: [23, 3, 21, 175, 288] | Top-1 Đúng: True | Top-5 Đúng: True
File: 23__M_Left_ring_finger_Obl.BMP | True ID: 23 | Top 1: 23 | Top 5: [23, 21, 3, 296, 288] | Top-1 Đúng: True | Top-5 Đúng: True
File: 23__M_Left_ring_finger_Zcut.BMP | True ID: 23 | Top 1: 23 | Top 5: [23, 251, 137, 7, 49] | Top-1 Đúng: True | Top-5 Đúng: True
File: 23__M_Left_thumb_finger_CR.BMP | True ID: 23 | Top 1: 23 | Top 5: [23, 116, 188, 120, 155] | Top-1 Đúng: True | Top-5 Đúng: True
File: 23__M_Left_thumb_finger_Obl.BMP | True ID: 23 | Top 1: 23 | Top 5: [23, 116, 155, 188, 208] | Top-1 Đúng: True | Top-5 Đúng: True
File: 23__M_Left_thumb_finger_Zcut.BMP | True ID: 23 | Top 1: 23 | Top 5: [23, 116, 188, 120, 155] | Top-1 Đúng: True | Top-5 Đúng: True
File: 23__M_Right_index_finger_CR.BMP | True ID: 23 | Top 1: 84 | Top 5: [84, 87, 113, 54, 46] | Top-1 Đúng: False | Top-5 Đúng: False
File: 23__M_Right_index_finger_Obl.BMP | True ID: 23 | Top 1: 23 | Top 5: [23, 75, 154, 29, 93] | Top-1 Đúng: True | Top-5 Đúng: True
File: 23__M_Right_index_finger_Zcut.BMP | True ID: 23 | Top 1: 170 | Top 5: [170, 177, 118, 205, 181] | Top-1 Đúng: False | Top-5 Đúng: False
File: 23__M_Right_little_finger_CR.BMP | True ID: 23 | Top 1: 151 | Top 5: [151, 55, 251, 3, 97] | Top-1 Đúng: False | Top-5 Đúng: False
File: 23__M_Right_little_finger_Obl.BMP | True ID: 23 | Top 1: 48 | Top 5: [48, 223, 224, 213, 47] | Top-1 Đúng: False | Top-5 Đúng: False
File: 23__M_Right_little_finger_Zcut.BMP | True ID: 23 | Top 1: 23 | Top 5: [23, 259, 92, 294, 54] | Top-1 Đúng: True | Top-5 Đúng: True
File: 23__M_Right_middle_finger_CR.BMP | True ID: 23 | Top 1: 23 | Top 5: [23, 231, 230, 23, 282] | Top-1 Đúng: True | Top-5 Đúng: True
File: 23__M_Right_middle_finger_Obl.BMP | True ID: 23 | Top 1: 268 | Top 5: [268, 211, 241, 263, 263] | Top-1 Đúng: False | Top-5 Đúng: False
File: 23__M_Right_middle_finger_Zcut.BMP | True ID: 23 | Top 1: 23 | Top 5: [23, 231, 23, 188, 230] | Top-1 Đúng: True | Top-5 Đúng: True
File: 23__M_Right_ring_finger_CR.BMP | True ID: 23 | Top 1: 196 | Top 5: [196, 43, 23, 181, 152] | Top-1 Đúng: False | Top-5 Đúng: True
File: 23__M_Right_ring_finger_Obl.BMP | True ID: 23 | Top 1: 46 | Top 5: [46, 94, 22, 159, 240] | Top-1 Đúng: False | Top-5 Đúng: False
File: 23__M_Right_ring_finger_Zcut.BMP | True ID: 23 | Top 1: 196 | Top 5: [196, 152, 23, 43, 6] | Top-1 Đúng: False | Top-5 Đúng: True
File: 23__M_Right_thumb_finger_CR.BMP | True ID: 23 | Top 1: 206 | Top 5: [206, 103, 24, 133, 6] | Top-1 Đúng: False | Top-5 Đúng: False
File: 23__M_Right_thumb_finger_Obl.BMP | True ID: 23 | Top 1: 231 | Top 5: [231, 178, 147, 127, 282] | Top-1 Đúng: False | Top-5 Đúng: False
File: 23__M_Right_thumb_finger_Zcut.BMP | True ID: 23 | Top 1: 206 | Top 5: [206, 103, 6, 29, 24] | Top-1 Đúng: False | Top-5 Đúng: False
File: 24__F_Left_index_finger_CR.BMP | True ID: 24 | Top 1: 24 | Top 5: [24, 261, 62, 174, 229] | Top-1 Đúng: True | Top-5 Đúng: True
File: 24__F_Left_index_finger_Obl.BMP | True ID: 24 | Top 1: 24 | Top 5: [24, 261, 62, 174, 126] | Top-1 Đúng: True | Top-5 Đúng: True
File: 24__F_Left_index_finger_Zcut.BMP | True ID: 24 | Top 1: 24 | Top 5: [24, 62, 261, 174, 229] | Top-1 Đúng: True | Top-5 Đúng: True
File: 24__F_Left_little_finger_CR.BMP | True ID: 24 | Top 1: 137 | Top 5: [137, 49, 24, 108, 218] | Top-1 Đúng: False | Top-5 Đúng: True
File: 24__F_Left_little_finger_Obl.BMP | True ID: 24 | Top 1: 137 | Top 5: [137, 49, 24, 108, 218] | Top-1 Đúng: False | Top-5 Đúng: True
File: 24__F_Left_little_finger_Zcut.BMP | True ID: 24 | Top 1: 24 | Top 5: [24, 204, 72, 137, 183] | Top-1 Đúng: True | Top-5 Đúng: True
File: 24__F_Left_middle_finger_CR.BMP | True ID: 24 | Top 1: 231 | Top 5: [231, 13, 196, 163, 131] | Top-1 Đúng: False | Top-5 Đúng: False
File: 24__F_Left_middle_finger_Obl.BMP | True ID: 24 | Top 1: 13 | Top 5: [13, 231, 36, 196, 276] | Top-1 Đúng: False | Top-5 Đúng: False
File: 24__F_Left_middle_finger_Zcut.BMP | True ID: 24 | Top 1: 24 | Top 5: [24, 139, 41, 141, 97] | Top-1 Đúng: True | Top-5 Đúng: True
File: 24__F_Left_ring_finger_CR.BMP | True ID: 24 | Top 1: 294 | Top 5: [294, 24, 2, 212, 136] | Top-1 Đúng: False | Top-5 Đúng: True
File: 24__F_Left_ring_finger_Obl.BMP | True ID: 24 | Top 1: 205 | Top 5: [205, 218, 95, 50, 87] | Top-1 Đúng: False | Top-5 Đúng: False
File: 24__F_Left_ring_finger_Zcut.BMP | True ID: 24 | Top 1: 72 | Top 5: [72, 187, 297, 287, 25] | Top-1 Đúng: False | Top-5 Đúng: False
File: 24__F_Left_thumb_finger_CR.BMP | True ID: 24 | Top 1: 98 | Top 5: [98, 49, 73, 251, 2] | Top-1 Đúng: False | Top-5 Đúng: False
File: 24__F_Left_thumb_finger_Obl.BMP | True ID: 24 | Top 1: 24 | Top 5: [24, 5, 152, 232, 5] | Top-1 Đúng: True | Top-5 Đúng: True
File: 24__F_Left_thumb_finger_Zcut.BMP | True ID: 24 | Top 1: 24 | Top 5: [24, 5, 232, 236, 152] | Top-1 Đúng: True | Top-5 Đúng: True
File: 24__F_Right_index_finger_CR.BMP | True ID: 24 | Top 1: 105 | Top 5: [105, 241, 107, 266, 12] | Top-1 Đúng: False | Top-5 Đúng: False
File: 24__F_Right_index_finger_Obl.BMP | True ID: 24 | Top 1: 24 | Top 5: [24, 124, 121, 182, 108] | Top-1 Đúng: True | Top-5 Đúng: True
File: 24__F_Right_index_finger_Zcut.BMP | True ID: 24 | Top 1: 24 | Top 5: [24, 124, 121, 108, 182] | Top-1 Đúng: True | Top-5 Đúng: True
File: 24__F_Right_little_finger_CR.BMP | True ID: 24 | Top 1: 148 | Top 5: [148, 136, 24, 126, 27] | Top-1 Đúng: False | Top-5 Đúng: True
File: 24__F_Right_little_finger_Obl.BMP | True ID: 24 | Top 1: 189 | Top 5: [189, 148, 24, 136, 157] | Top-1 Đúng: False | Top-5 Đúng: True
File: 24__F_Right_little_finger_Zcut.BMP | True ID: 24 | Top 1: 24 | Top 5: [24, 148, 189, 136, 24] | Top-1 Đúng: True | Top-5 Đúng: True
File: 24__F_Right_middle_finger_CR.BMP | True ID: 24 | Top 1: 24 | Top 5: [24, 91, 52, 87, 256] | Top-1 Đúng: True | Top-5 Đúng: True
File: 24__F_Right_middle_finger_Obl.BMP | True ID: 24 | Top 1: 291 | Top 5: [291, 7, 102, 99, 114] | Top-1 Đúng: False | Top-5 Đúng: False
File: 24__F_Right_middle_finger_Zcut.BMP | True ID: 24 | Top 1: 24 | Top 5: [24, 52, 253, 20, 93] | Top-1 Đúng: True | Top-5 Đúng: True
File: 24__F_Right_ring_finger_CR.BMP | True ID: 24 | Top 1: 24 | Top 5: [24, 47, 44, 184, 213] | Top-1 Đúng: True | Top-5 Đúng: True
File: 24__F_Right_ring_finger_Obl.BMP | True ID: 24 | Top 1: 256 | Top 5: [256, 146, 60, 170, 2] | Top-1 Đúng: False | Top-5 Đúng: False
File: 24__F_Right_ring_finger_Zcut.BMP | True ID: 24 | Top 1: 24 | Top 5: [24, 44, 47, 213, 184] | Top-1 Đúng: True | Top-5 Đúng: True
File: 24__F_Right_thumb_finger_CR.BMP | True ID: 24 | Top 1: 24 | Top 5: [24, 111, 299, 103, 232] | Top-1 Đúng: True | Top-5 Đúng: True
File: 24__F_Right_thumb_finger_Obl.BMP | True ID: 24 | Top 1: 24 | Top 5: [24, 299, 103, 111, 232] | Top-1 Đúng: True | Top-5 Đúng: True
File: 24__F_Right_thumb_finger_Zcut.BMP | True ID: 24 | Top 1: 24 | Top 5: [24, 111, 103, 299, 232] | Top-1 Đúng: True | Top-5 Đúng: True
File: 25__F_Left_index_finger_CR.BMP | True ID: 25 | Top 1: 25 | Top 5: [25, 237, 38, 131, 145] | Top-1 Đúng: True | Top-5 Đúng: True
File: 25__F_Left_index_finger_Obl.BMP | True ID: 25 | Top 1: 25 | Top 5: [25, 237, 38, 258, 297] | Top-1 Đúng: True | Top-5 Đúng: True
File: 25__F_Left_index_finger_Zcut.BMP | True ID: 25 | Top 1: 25 | Top 5: [25, 237, 38, 131, 297] | Top-1 Đúng: True | Top-5 Đúng: True
File: 25__F_Left_little_finger_CR.BMP | True ID: 25 | Top 1: 25 | Top 5: [25, 187, 287, 279, 72] | Top-1 Đúng: True | Top-5 Đúng: True
File: 25__F_Left_little_finger_Obl.BMP | True ID: 25 | Top 1: 287 | Top 5: [287, 187, 25, 10, 257] | Top-1 Đúng: False | Top-5 Đúng: True
File: 25__F_Left_little_finger_Zcut.BMP | True ID: 25 | Top 1: 25 | Top 5: [25, 187, 287, 279, 72] | Top-1 Đúng: True | Top-5 Đúng: True
File: 25__F_Left_middle_finger_CR.BMP | True ID: 25 | Top 1: 25 | Top 5: [25, 40, 29, 153, 295] | Top-1 Đúng: True | Top-5 Đúng: True
File: 25__F_Left_middle_finger_Obl.BMP | True ID: 25 | Top 1: 25 | Top 5: [25, 29, 40, 153, 295] | Top-1 Đúng: True | Top-5 Đúng: True
File: 25__F_Left_middle_finger_Zcut.BMP | True ID: 25 | Top 1: 25 | Top 5: [25, 29, 40, 153, 12] | Top-1 Đúng: True | Top-5 Đúng: True
File: 25__F_Left_ring_finger_CR.BMP | True ID: 25 | Top 1: 205 | Top 5: [205, 126, 291, 29, 13] | Top-1 Đúng: False | Top-5 Đúng: False
File: 25__F_Left_ring_finger_Obl.BMP | True ID: 25 | Top 1: 25 | Top 5: [25, 294, 291, 286, 91] | Top-1 Đúng: True | Top-5 Đúng: True
File: 25__F_Left_ring_finger_Zcut.BMP | True ID: 25 | Top 1: 97 | Top 5: [97, 46, 251, 151, 179] | Top-1 Đúng: False | Top-5 Đúng: False
File: 25__F_Left_thumb_finger_CR.BMP | True ID: 25 | Top 1: 25 | Top 5: [25, 196, 194, 295, 152] | Top-1 Đúng: True | Top-5 Đúng: True
File: 25__F_Left_thumb_finger_Obl.BMP | True ID: 25 | Top 1: 25 | Top 5: [25, 196, 194, 295, 43] | Top-1 Đúng: True | Top-5 Đúng: True
File: 25__F_Left_thumb_finger_Zcut.BMP | True ID: 25 | Top 1: 25 | Top 5: [25, 196, 194, 295, 51] | Top-1 Đúng: True | Top-5 Đúng: True
File: 25__F_Right_index_finger_CR.BMP | True ID: 25 | Top 1: 25 | Top 5: [25, 138, 97, 51, 163] | Top-1 Đúng: True | Top-5 Đúng: True
File: 25__F_Right_index_finger_Obl.BMP | True ID: 25 | Top 1: 297 | Top 5: [297, 25, 87, 291, 144] | Top-1 Đúng: False | Top-5 Đúng: True
File: 25__F_Right_index_finger_Zcut.BMP | True ID: 25 | Top 1: 25 | Top 5: [25, 97, 202, 51, 138] | Top-1 Đúng: True | Top-5 Đúng: True
File: 25__F_Right_little_finger_CR.BMP | True ID: 25 | Top 1: 25 | Top 5: [25, 215, 129, 168, 166] | Top-1 Đúng: True | Top-5 Đúng: True
File: 25__F_Right_little_finger_Obl.BMP | True ID: 25 | Top 1: 25 | Top 5: [25, 215, 129, 168, 297] | Top-1 Đúng: True | Top-5 Đúng: True
File: 25__F_Right_little_finger_Zcut.BMP | True ID: 25 | Top 1: 25 | Top 5: [25, 215, 129, 168, 166] | Top-1 Đúng: True | Top-5 Đúng: True
File: 25__F_Right_middle_finger_CR.BMP | True ID: 25 | Top 1: 25 | Top 5: [25, 168, 75, 240, 25] | Top-1 Đúng: True | Top-5 Đúng: True
File: 25__F_Right_middle_finger_Obl.BMP | True ID: 25 | Top 1: 25 | Top 5: [25, 152, 300, 297, 115] | Top-1 Đúng: True | Top-5 Đúng: True
File: 25__F_Right_middle_finger_Zcut.BMP | True ID: 25 | Top 1: 143 | Top 5: [143, 122, 74, 168, 277] | Top-1 Đúng: False | Top-5 Đúng: False
File: 25__F_Right_ring_finger_CR.BMP | True ID: 25 | Top 1: 81 | Top 5: [81, 201, 115, 136, 194] | Top-1 Đúng: False | Top-5 Đúng: False
